Tester: Sherry
Test Date: 2016-02-26 13:59
Test Mode: sharp and round
Test Type: Complex
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
1,right,c,0.681
2,right,c,0.556
3,right,c,0.535
4,left,c,0.502
5,left,c,0.575
6,right,c,0.479
7,left,c,0.535
8,right,c,0.479
9,left,c,0.639
10,left,c,0.558
11,left,c,0.752
12,left,c,0.495
13,left,c,0.543
14,right,c,0.527
15,right,c,0.752
16,right,c,0.551
17,left,c,0.511
18,left,c,0.543
19,left,c,0.999
20,right,c,0.583
21,left,c,0.544
22,right,c,0.534
23,right,c,1.119
24,left,c,0.831
25,right,c,0.599
26,left,c,0.768
27,right,c,0.726
28,left,c,0.512
29,right,c,0.487
30,left,c,0.576
31,left,c,1.207
32,left,c,0.567
33,right,c,0.614
34,left,c,0.552
35,right,c,0.8
36,left,c,0.584
37,right,c,0.622
38,left,w,0.528
39,right,c,1.398
40,left,c,0.679
41,right,c,0.599
42,left,c,0.599
43,right,c,0.511
44,left,c,0.687
45,left,c,0.704
46,left,c,0.552
47,right,c,1.166
48,right,w,0.727
49,right,c,0.852
50,left,c,0.591
51,left,c,0.487
52,right,c,0.608
53,right,c,0.704
54,right,c,0.749
55,right,c,0.784
56,right,c,0.806
57,left,c,0.999
58,right,c,1.111
59,left,c,0.583
60,left,c,0.999
61,left,c,0.674
62,right,c,1.15
63,left,c,0.624
64,left,c,0.463
65,right,c,0.647
66,left,c,0.608
67,left,c,0.647
68,left,c,0.535
69,right,c,0.543
70,right,c,0.623
71,right,c,1.031
72,left,c,0.536
73,right,c,0.705
74,left,c,0.999
75,left,c,0.623
76,right,c,0.607
77,right,c,0.607
78,right,c,0.552
79,right,c,0.56
80,right,c,0.792
81,left,c,0.694
82,right,c,0.936
83,right,c,0.6
84,left,c,0.559
85,right,c,0.735
86,left,c,0.583
87,right,c,0.743
88,right,c,0.511
89,left,c,0.623
90,left,c,0.687
91,left,c,0.573
92,right,c,0.599
93,left,c,0.488
94,left,c,0.527
95,right,c,0.526
96,right,c,0.735
97,left,c,0.567
98,left,c,0.655
99,left,c,0.704
100,left,c,0.574
101,left,w,0.703
102,right,c,1.405
103,left,c,0.535
104,left,c,0.567
105,left,c,0.535
106,right,c,0.631
107,right,c,0.535
108,left,c,0.479
109,left,c,0.552
110,left,c,0.616
111,left,c,0.671
112,right,c,0.528
113,left,c,0.551
114,right,c,0.807
115,left,c,0.56
116,right,c,0.711
117,left,c,0.599
118,left,c,0.608
119,left,c,0.576
120,left,c,0.496
121,right,c,1.013
122,left,c,0.566
123,right,c,0.487
124,right,c,0.903
125,left,c,0.44
126,right,c,0.48
127,left,c,0.695
128,right,c,0.567
129,left,w,0.55
130,left,c,1.197
131,left,c,1.415
132,left,c,0.705
133,right,c,0.901
134,left,c,0.728
135,right,c,0.895
136,right,c,1.006
137,right,c,1.207
138,left,w,0.88
139,right,w,0.59
140,left,w,0.952
141,left,c,2.387
142,left,c,1.15
143,right,c,0.984
144,left,w,0.328
145,left,c,1.261
146,left,c,1.047
147,left,c,0.903
148,right,c,0.559
149,right,c,0.743
150,left,c,0.607
151,right,c,0.594
152,left,c,0.51
153,left,c,0.616
154,right,c,0.496
155,right,c,0.904
156,left,c,0.838
157,right,c,0.487
158,left,c,0.72
159,right,c,0.656
160,right,c,0.887
161,right,c,0.559
162,right,c,0.927
163,right,c,0.495
164,right,c,1.031
165,right,c,0.479
166,right,c,0.791
167,right,c,0.647
168,right,c,0.607
169,left,c,0.815
170,left,c,0.663
171,left,c,0.943
172,left,c,0.695
173,left,c,0.591
174,left,c,0.823
175,left,c,0.711
176,right,c,0.543
177,left,c,0.551
178,left,c,0.784
179,right,c,0.647
180,left,c,0.575
