Tester: Sherry
Test Date: 2016-03-01 20:48
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
1,left,w,0.318
2,left,w,0.323
3,left,w,0.19
4,left,c,0.175
5,left,w,0.167
6,left,c,0.182
7,left,w,0.167
8,left,w,0.176
9,left,w,0.181
10,left,w,0.175
11,left,c,0.174
12,left,w,0.247
13,left,w,0.423
14,left,c,0.207
15,left,w,0.167
16,left,c,0.198
17,left,w,0.192
18,left,w,0.191
19,left,w,0.189
20,left,w,0.199
21,left,w,0.191
22,left,w,0.19
23,left,w,0.191
24,left,w,0.198
25,left,c,0.199
26,left,w,0.191
27,left,w,0.215
28,left,w,0.207
29,left,c,0.499
30,left,c,0.083
31,right,w,1.154
32,right,c,1.609
33,right,c,0.731
34,left,c,0.808
35,right,c,0.56
36,right,c,0.584
37,right,c,0.8
38,left,c,0.632
39,right,c,0.559
40,right,c,0.28
41,right,w,0.499
42,right,c,0.087
43,right,w,0.078
44,right,w,0.082
45,right,w,0.083
46,right,c,0.379
47,right,c,0.159
48,right,c,0.5
49,right,c,0.082
50,right,w,0.084
51,right,c,0.087
52,right,w,0.078
53,right,c,0.085
54,right,w,0.079
55,right,w,0.082
56,right,c,0.082
57,right,c,0.083
58,right,w,0.083
59,right,w,0.082
60,right,c,0.084
61,right,c,0.694
62,right,w,0.239
63,right,w,0.499
64,right,c,0.084
65,right,c,0.082
66,right,w,0.084
67,right,w,0.082
68,right,w,0.085
69,right,w,0.08
70,right,c,0.082
71,right,c,0.084
72,right,w,0.084
73,right,c,0.084
74,right,w,0.081
75,right,c,0.082
76,right,c,0.083
77,right,c,0.084
78,right,w,0.084
79,right,c,0.083
80,right,c,0.082
81,right,c,0.083
82,right,w,0.084
83,right,c,0.084
84,right,w,0.081
85,right,c,0.084
86,right,w,0.082
87,right,w,0.083
88,right,c,0.084
89,right,c,0.084
90,right,w,0.084
91,left,c,0.557
92,left,w,0.5
93,left,c,0.087
94,left,c,0.08
95,left,c,0.083
96,left,c,0.085
97,left,w,0.083
98,left,w,0.083
99,left,c,0.083
100,left,c,0.084
101,left,c,0.083
102,left,w,0.085
103,left,c,0.081
104,left,w,0.083
105,left,c,0.085
106,left,c,0.082
107,left,c,0.084
108,left,w,0.084
109,left,c,0.082
110,left,c,0.084
111,left,c,0.083
112,left,c,0.084
113,left,c,0.084
114,left,c,0.083
115,left,c,0.083
116,left,w,0.083
117,left,w,0.082
118,left,c,0.084
119,left,w,0.084
120,left,w,0.081
121,right,c,0.633
122,right,c,0.499
123,right,w,0.083
124,right,c,0.082
125,right,c,0.084
126,right,w,0.083
127,right,c,0.084
128,right,c,0.082
129,right,c,0.083
130,right,w,0.083
131,right,w,0.087
132,right,w,0.078
133,right,c,0.083
134,right,w,0.083
135,right,w,0.083
136,right,w,0.083
137,right,c,0.084
138,right,c,0.081
139,right,w,0.083
140,right,w,0.087
141,right,c,0.08
142,right,w,0.08
143,right,c,0.082
144,right,w,0.083
145,right,c,0.083
146,right,w,0.084
147,right,c,0.083
148,right,w,0.084
149,right,c,0.082
150,right,c,0.083
151,left,w,1.062
152,left,c,1.394
153,left,w,0.501
154,left,c,0.088
155,left,c,0.078
156,left,w,0.084
157,left,c,0.082
158,left,c,0.083
159,left,c,0.083
160,left,c,0.084
161,left,w,0.083
162,left,c,0.085
163,left,c,0.08
164,left,w,0.084
165,left,c,0.086
166,left,w,0.08
167,left,c,0.081
168,left,c,0.083
169,left,c,0.083
170,left,c,0.084
171,left,c,0.084
172,left,w,0.083
173,left,w,0.083
174,left,w,0.081
175,left,c,0.083
176,left,c,0.082
177,left,w,0.083
178,left,c,0.086
179,left,w,0.079
180,left,w,0.083
